match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
OTHER_2015-08-06_RÉUNION_MADAGASCAR,2015-08-06,Réunion,Madagascar,1,0,Indian Ocean Island Games,Réunion,Réunion,False
OTHER_2015-08-07_MAURITIUS_MADAGASCAR,2015-08-07,Mauritius,Madagascar,3,1,Indian Ocean Island Games,Réunion,Réunion,True
FRIENDLY_2015-08-08_DONETSK_PR_LUHANSK_PR,2015-08-08,Donetsk PR,Luhansk PR,4,1,Friendly,Donetsk,Ukraine,False
OTHER_2015-08-08_RÉUNION_MAYOTTE,2015-08-08,Réunion,Mayotte,3,1,Indian Ocean Island Games,Réunion,Réunion,False
OTHER_2015-08-09_CHINA_PR_JAPAN,2015-08-09,China PR,Japan,1,1,EAFF Championship,Wuhan,China PR,False
OTHER_2015-08-09_SOUTH_KOREA_NORTH_KOREA,2015-08-09,South Korea,North Korea,0,0,EAFF Championship,Wuhan,China PR,True
FRIENDLY_2015-08-19_FIJI_TONGA,2015-08-19,Fiji,Tonga,5,0,Friendly,Ba,Fiji,False
FRIENDLY_2015-08-20_CAMBODIA_BHUTAN,2015-08-20,Cambodia,Bhutan,2,0,Friendly,Phnom Penh,Cambodia,False
FRIENDLY_2015-08-26_LEBANON_IRAQ,2015-08-26,Lebanon,Iraq,2,3,Friendly,Sidon,Lebanon,False
FRIENDLY_2015-08-27_FIJI_AMERICAN_SAMOA,2015-08-27,Fiji,American Samoa,6,0,Friendly,Nadi,Fiji,False
FRIENDLY_2015-08-28_UNITED_ARAB_EMIRATES_MYANMAR,2015-08-28,United Arab Emirates,Myanmar,1,0,Friendly,Abu Dhabi,United Arab Emirates,False
FRIENDLY_2015-08-28_TANZANIA_LIBYA,2015-08-28,Tanzania,Libya,1,2,Friendly,Kertepe,Turkey,True
FRIENDLY_2015-08-28_QATAR_SINGAPORE,2015-08-28,Qatar,Singapore,4,0,Friendly,Doha,Qatar,False
FRIENDLY_2015-08-28_OMAN_YEMEN,2015-08-28,Oman,Yemen,1,0,Friendly,Seeb,Oman,False
FRIENDLY_2015-08-28_RWANDA_ETHIOPIA,2015-08-28,Rwanda,Ethiopia,3,1,Friendly,Kigali,Rwanda,False
FRIENDLY_2015-08-29_LAOS_CAMBODIA,2015-08-29,Laos,Cambodia,2,1,Friendly,Bangkok,Thailand,True
FRIENDLY_2015-08-29_MALAYSIA_BANGLADESH,2015-08-29,Malaysia,Bangladesh,0,0,Friendly,Shah Alam,Malaysia,False
FRIENDLY_2015-08-30_NIGER_BURKINA_FASO,2015-08-30,Niger,Burkina Faso,0,0,Friendly,Niamey,Niger,False
WCQUAL_2015-08-31_TONGA_COOK_ISLANDS,2015-08-31,Tonga,Cook Islands,0,3,FIFA World Cup qualification,‘Atele,Tonga,False
FRIENDLY_2015-08-31_INDIA_NEPAL,2015-08-31,India,Nepal,0,0,Friendly,Pune,India,False
FRIENDLY_2015-08-31_LEBANON_PALESTINE,2015-08-31,Lebanon,Palestine,0,0,Friendly,Sidon,Lebanon,False
WCQUAL_2015-08-31_SAMOA_AMERICAN_SAMOA,2015-08-31,Samoa,American Samoa,3,2,FIFA World Cup qualification,‘Atele,Tonga,True
FRIENDLY_2015-09-01_CONGO_GHANA,2015-09-01,Congo,Ghana,2,3,Friendly,Brazzaville,Congo,False
WCQUAL_2015-09-02_COOK_ISLANDS_SAMOA,2015-09-02,Cook Islands,Samoa,1,0,FIFA World Cup qualification,‘Atele,Tonga,True
WCQUAL_2015-09-02_TONGA_AMERICAN_SAMOA,2015-09-02,Tonga,American Samoa,1,2,FIFA World Cup qualification,‘Atele,Tonga,False
WCQUAL_2015-09-03_OMAN_TURKMENISTAN,2015-09-03,Oman,Turkmenistan,3,1,FIFA World Cup qualification,Seeb,Oman,False
EUROQ_2015-09-03_NETHERLANDS_ICELAND,2015-09-03,Netherlands,Iceland,0,1,UEFA Euro qualification,Amsterdam,Netherlands,False
WCQUAL_2015-09-03_SOUTH_KOREA_LAOS,2015-09-03,South Korea,Laos,8,0,FIFA World Cup qualification,Hwaseong,South Korea,False
FRIENDLY_2015-09-03_PHILIPPINES_MALDIVES,2015-09-03,Philippines,Maldives,2,0,Friendly,Manila,Philippines,False
WCQUAL_2015-09-03_KUWAIT_MYANMAR,2015-09-03,Kuwait,Myanmar,9,0,FIFA World Cup qualification,Doha,Qatar,True
WCQUAL_2015-09-03_QATAR_BHUTAN,2015-09-03,Qatar,Bhutan,15,0,FIFA World Cup qualification,Doha,Qatar,False
WCQUAL_2015-09-03_UNITED_ARAB_EMIRATES_MALAYSIA,2015-09-03,United Arab Emirates,Malaysia,10,0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False
WCQUAL_2015-09-03_SYRIA_SINGAPORE,2015-09-03,Syria,Singapore,1,0,FIFA World Cup qualification,Muscat,Oman,True
FRIENDLY_2015-09-03_THAILAND_AFGHANISTAN,2015-09-03,Thailand,Afghanistan,2,0,Friendly,Bangkok,Thailand,False
EUROQ_2015-09-03_TURKIYE_LATVIA,2015-09-03,Turkiye,Latvia,1,1,UEFA Euro qualification,Konya,Turkey,False
WCQUAL_2015-09-03_UZBEKISTAN_YEMEN,2015-09-03,Uzbekistan,Yemen,1,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
WCQUAL_2015-09-03_SAUDI_ARABIA_TIMOR-LESTE,2015-09-03,Saudi Arabia,Timor-Leste,7,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
WCQUAL_2015-09-03_JORDAN_KYRGYZSTAN,2015-09-03,Jordan,Kyrgyzstan,0,0,FIFA World Cup qualification,Irbid,Jordan,False
EUROQ_2015-09-03_AZERBAIJAN_CROATIA,2015-09-03,Azerbaijan,Croatia,0,0,UEFA Euro qualification,Baku,Azerbaijan,False
EUROQ_2015-09-03_ITALY_MALTA,2015-09-03,Italy,Malta,1,0,UEFA Euro qualification,Florence,Italy,False
WCQUAL_2015-09-03_JAPAN_CAMBODIA,2015-09-03,Japan,Cambodia,3,0,FIFA World Cup qualification,Saitama,Japan,False
WCQUAL_2015-09-03_BAHRAIN_NORTH_KOREA,2015-09-03,Bahrain,North Korea,0,1,FIFA World Cup qualification,Riffa,Bahrain,False
EUROQ_2015-09-03_BELGIUM_BOSNIA_AND_HERZEGOVINA,2015-09-03,Belgium,Bosnia and Herzegovina,3,1,UEFA Euro qualification,Brussels,Belgium,False
EUROQ_2015-09-03_BULGARIA_NORWAY,2015-09-03,Bulgaria,Norway,0,1,UEFA Euro qualification,Sofia,Bulgaria,False
WCQUAL_2015-09-03_CHINA_PR_HONG_KONG,2015-09-03,China PR,Hong Kong,0,0,FIFA World Cup qualification,Shenzhen,China PR,False
WCQUAL_2015-09-03_AUSTRALIA_BANGLADESH,2015-09-03,Australia,Bangladesh,5,0,FIFA World Cup qualification,Perth,Australia,False
EUROQ_2015-09-03_CZECHIA_KAZAKHSTAN,2015-09-03,Czechia,Kazakhstan,2,1,UEFA Euro qualification,Plzeň,Czech Republic,False
WCQUAL_2015-09-03_IRAN_GUAM,2015-09-03,Iran,Guam,6,0,FIFA World Cup qualification,Tehran,Iran,False
WCQUAL_2015-09-03_IRAQ_TAIWAN,2015-09-03,Iraq,Taiwan,5,1,FIFA World Cup qualification,Tehran,Iran,True
EUROQ_2015-09-03_ISRAEL_ANDORRA,2015-09-03,Israel,Andorra,4,0,UEFA Euro qualification,Haifa,Israel,False
EUROQ_2015-09-03_CYPRUS_WALES,2015-09-03,Cyprus,Wales,0,1,UEFA Euro qualification,Nicosia,Cyprus,False
FRIENDLY_2015-09-04_PORTUGAL_FRANCE,2015-09-04,Portugal,France,0,1,Friendly,Lisbon,Portugal,False
FRIENDLY_2015-09-04_USA_PERU,2015-09-04,USA,Peru,2,1,Friendly,"Washington, D.C.",United States,False
WCQUAL_2015-09-04_SAINT_VINCENT_AND_THE_GRENADINES_ARUBA,2015-09-04,Saint Vincent and the Grenadines,Aruba,2,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
